words,count_up,count_down,total,polarity_score
행간/NNG,35.0,25.0,60.0,1.9387322133828522
다가선/VV,12.0,8.0,20.0,2.0772130857673416
기승/NNG,12.0,9.0,21.0,1.8464116317931925
예상/NNG;낮/VA,22.0,19.0,41.0,1.603462732873036
한국인/NNG,13.0,7.0,20.0,2.571787629997661
반기/NNG,62.0,56.0,118.0,1.5331810871139901
하늘/NNG,12.0,10.0,22.0,1.6617704686138732
중대재해/NNG,15.0,8.0,23.0,2.596516357209177
순이익/NNG;감소/NNG,19.0,12.0,31.0,2.1926138127544164
착시/NNG,11.0,10.0,21.0,1.523289596229384
gdp/NNG;갭/NNG;플러스/NNG,19.0,12.0,31.0,2.1926138127544164
우려/NNG;금리/NNG;상승/NNG,9.0,8.0,17.0,1.5579098143255063
자원배분/NNG,9.0,8.0,17.0,1.5579098143255063
시납/NNG,10.0,7.0,17.0,1.9782981769212777
오디세이아/NNG,22.0,6.0,28.0,5.07763198743128
가격결정/NNG,13.0,9.0,22.0,2.0002792677759587
성장/NNG;경로/NNG;불확실성/NNG,10.0,9.0,19.0,1.5386763598276605
바우처/NNG,10.0,10.0,20.0,1.3848087238448943
주유소/NNG,38.0,8.0,46.0,6.577841438263248
플레이션/NNG,33.0,12.0,45.0,3.80822399057346
낙찰률/NNG,17.0,13.0,30.0,1.8109037157971697
금전신탁/NNG,52.0,54.0,106.0,1.333519511850639
단기물/NNG;금리/NNG;상승/NNG,14.0,13.0,27.0,1.4913324718329632
인구비중/NNG,19.0,13.0,32.0,2.023951211773307
보임/NNG,55.0,35.0,90.0,2.176127994613405
대용/NNG,16.0,6.0,22.0,3.692823263586386
버냉키쇼크/NNG,21.0,21.0,42.0,1.3848087238448945
철강/NNG,494.0,526.0,1020.0,1.3005618052839882
중국은행/NNG,94.0,45.0,139.0,2.8927115564760015
조원/NNG,3281.0,3390.0,6671.0,1.340282425644572
주택차압/NNG,14.0,8.0,22.0,2.4234152667285653
구성항목/NNG,27.0,24.0,51.0,1.5579098143255063
할지라도/VV,14.0,7.0,21.0,2.7696174476897886
차감/NNG,52.0,50.0,102.0,1.4402010727986903
비난/NNG,18.0,18.0,36.0,1.3848087238448945
저축성/NNG,294.0,279.0,573.0,1.4592608057720393
당황/NNG,14.0,10.0,24.0,1.938732213382852
신정/NNG,14.0,7.0,21.0,2.7696174476897886
불플래트닝/NNG,28.0,19.0,47.0,2.040770750929318
수익창출/NNG,75.0,66.0,141.0,1.573646277096471
최저가/NNG,18.0,13.0,31.0,1.9174274637852387
쓰이/VV,20.0,21.0,41.0,1.318865451280852
재정절벽/NNG,114.0,65.0,179.0,2.4287414541279686
탄핵/NNG,142.0,99.0,241.0,1.9862913008684346
치마/NNG,58.0,21.0,79.0,3.824709808714471
자산/NNG;확대/NNG,9.0,8.0,17.0,1.5579098143255063
소강/NNG,28.0,29.0,57.0,1.3370566988847257
수요견인/NNG,36.0,34.0,70.0,1.4662680605416532
행복/NNG,29.0,27.0,56.0,1.487387147833405
워크/NNG,14.0,6.0,20.0,3.231220355638087
조정안/NNG,14.0,14.0,28.0,1.3848087238448943
설비/NNG;투자/NNG;증가/NNG,12.0,11.0,23.0,1.5107004260126122
기업체/NNG,16.0,14.0,30.0,1.5826385415370223
지급여력비율/NNG,14.0,10.0,24.0,1.938732213382852
스프/NNG,166.0,137.0,303.0,1.6779434172135215
수출금액/NNG,17.0,15.0,32.0,1.569449887024214
부동산투자회사/NNG,14.0,14.0,28.0,1.3848087238448943
장초/NNG,220.0,122.0,342.0,2.4971960593924325
비경쟁인수/NNG,19.0,18.0,37.0,1.4617425418362773
은행법/NNG,25.0,25.0,50.0,1.3848087238448943
롤오버/NNG,48.0,47.0,95.0,1.4142727392458496
부동산정책/NNG,15.0,9.0,24.0,2.3080145397414906
바뀐다/VV,44.0,1.0,45.0,60.93158384917536
유난히/MAG,16.0,11.0,27.0,2.014267234683483
하락/NNG;축소/NNG,14.0,8.0,22.0,2.4234152667285653
미시/NNG,69.0,53.0,122.0,1.8028641876471267
급전/NNG,16.0,16.0,32.0,1.3848087238448945
글로벌/NNG;경기/NNG;회복/NNG,33.0,30.0,63.0,1.5232895962293842
이관/NNG,34.0,29.0,63.0,1.6235688486457385
개개/NNG,12.0,10.0,22.0,1.6617704686138732
나눠/VV,41.0,31.0,72.0,1.8315212154077636
금리/NNG;인상/NNG;충격/NNG,9.0,8.0,17.0,1.5579098143255063
인선/NNG,16.0,14.0,30.0,1.5826385415370223
대외/NNG;불안/NNG,12.0,8.0,20.0,2.0772130857673416
스트레스/NNG,84.0,78.0,162.0,1.4913324718329635
경제/NNG;양호/NNG;성장/NNG,9.0,8.0,17.0,1.5579098143255063
개선/NNG;더디/VA,10.0,8.0,18.0,1.731010904806118
기준율/NNG,12.0,12.0,24.0,1.3848087238448945
경기/NNG;완만/NNG;회복/NNG,12.0,6.0,18.0,2.769617447689789
위험/NNG;크/VV,19.0,19.0,38.0,1.3848087238448945
고정비/NNG;부담/NNG,13.0,10.0,23.0,1.8002513409983627
버퍼/NNG,19.0,16.0,35.0,1.644460359565812
삽입/NNG,21.0,15.0,36.0,1.9387322133828526
제1금융권/NNG,17.0,16.0,33.0,1.4713592690852002
카드/NNG,436.0,304.0,740.0,1.986107248672283
신화/NNG,16.0,12.0,28.0,1.846411631793193
캡틴/NNG,18.0,1.0,19.0,24.9265570292081
유입자금/NNG,17.0,11.0,28.0,2.1401589368512006
금리/NNG;되돌/VV,21.0,19.0,40.0,1.5305780631969887
시장지배력/NNG,17.0,16.0,33.0,1.4713592690852002
손해율/NNG,111.0,42.0,153.0,3.659851627304364
흡수력/NNG,22.0,16.0,38.0,1.90411199528673
발표문/NNG,20.0,21.0,41.0,1.318865451280852
소비자동향조사/NNG,34.0,33.0,67.0,1.426772624567467
고용창출/NNG,84.0,76.0,160.0,1.5305780631969887
기시/NNG,23.0,5.0,28.0,6.370120129686514
채권/NNG;금리/NNG;상승/NNG,82.0,87.0,169.0,1.3052220155779464
소득/NNG;증가/NNG,21.0,17.0,38.0,1.7106460706319286
행순/NNG,19.0,9.0,28.0,2.9234850836725546
예상밖/NNG,77.0,80.0,157.0,1.3328783967007107
도발/NNG,65.0,46.0,111.0,1.9567949358677856
재협상/NNG,71.0,70.0,141.0,1.4045917056141073
경기민감업종/NNG,42.0,33.0,75.0,1.7624838303480477
투자/NNG;부담/NNG,20.0,17.0,37.0,1.62918673393517
문재/NNG,12.0,9.0,21.0,1.8464116317931925
바라/VV,466.0,440.0,906.0,1.4666383302539108
후순위채/NNG,216.0,166.0,382.0,1.8019197852439592
최종결제/NNG,12.0,8.0,20.0,2.0772130857673416
오퍼/NNG,11.0,8.0,19.0,1.90411199528673
단기성/NNG,77.0,42.0,119.0,2.5388159937156396
유로3/NNG,37.0,33.0,70.0,1.5526643267351847
구속/NNG,21.0,21.0,42.0,1.3848087238448945
저하/NNG;추세/NNG,17.0,13.0,30.0,1.8109037157971697
금리/NNG;인상/NNG;어렵/VA,24.0,18.0,42.0,1.8464116317931925
치였/VV,21.0,22.0,43.0,1.3218628727610358
전략팀/NNG,11.0,6.0,17.0,2.53881599371564
오일허브/NNG,53.0,36.0,89.0,2.03874617677165
현역/NNG,9.0,9.0,18.0,1.3848087238448945
불균형/NNG,170.0,172.0,342.0,1.3687062968234422
기물/NNG,24.0,22.0,46.0,1.5107004260126122
채미/NNG,57.0,17.0,74.0,4.643182191715234
소매/NNG;판매/NNG;호조/NNG,9.0,9.0,18.0,1.3848087238448945
일중/NNG,32.0,30.0,62.0,1.4771293054345545
비지표물/NNG,15.0,11.0,26.0,1.8883755325157654
전강후약/NNG,57.0,36.0,93.0,2.192613812754416
외인/NNG,1175.0,1237.0,2412.0,1.3154003642019005
외생/NNG,21.0,16.0,37.0,1.817561450046424
원자재기업/NNG,16.0,4.0,20.0,5.539234895379578
금리/NNG;인상/NNG;부담/NNG,11.0,11.0,22.0,1.3848087238448947
잔존가치/NNG,22.0,5.0,27.0,6.093158384917536
합친/VV,13.0,9.0,22.0,2.0002792677759587
중중/NNG,41.0,36.0,77.0,1.577143268823352
불확실성/NNG;감소/NNG,12.0,7.0,19.0,2.3739578123055334
투자/NNG;모멘텀/NNG,11.0,10.0,21.0,1.523289596229384
모면/NNG,21.0,10.0,31.0,2.9080983200742785
신약/NNG,29.0,29.0,58.0,1.3848087238448947
가뜩이나/MAG,10.0,9.0,19.0,1.5386763598276605
경기/NNG;모멘텀/NNG;둔화/NNG,22.0,20.0,42.0,1.523289596229384
비금융사/NNG,13.0,4.0,17.0,4.500628352495907
보험회사/NNG,29.0,26.0,55.0,1.5445943458269977
원원/NNG,24.0,13.0,37.0,2.556569951713651
고갈/NNG,18.0,12.0,30.0,2.0772130857673416
이미/MAG;금리/NNG;인상/NNG,14.0,12.0,26.0,1.6156101778190435
환원/NNG,90.0,69.0,159.0,1.8062722484933407
제조업/NNG;경기/NNG;회복/NNG,9.0,9.0,18.0,1.3848087238448945
관리감독/NNG,13.0,12.0,25.0,1.5002094508319692
국제/NNG;원자재/NNG;가격/NNG;상승/NNG,11.0,8.0,19.0,1.90411199528673
우대형/NNG,11.0,7.0,18.0,2.176127994613406
상담사/NNG,16.0,3.0,19.0,7.385646527172772
괴리율/NNG,23.0,11.0,34.0,2.895509149857507
디레버리징/NNG,110.0,115.0,225.0,1.3245996488951164
참가/NNG,69.0,70.0,139.0,1.3650257420756815
단기물/NNG;강세/NNG,34.0,33.0,67.0,1.426772624567467
우량등급/NNG,472.0,478.0,950.0,1.3674261875623228
에너지제외지수/NNG,31.0,32.0,63.0,1.3415334512247414
