,word,positive_count,negative_count,total
2171,부가가치세,14,13,27
2172,절약,9,13,22
2174,소득세,46,39,85
2175,감면,46,132,178
2177,지원자금,5,12,17
2178,소프트웨어,32,71,103
2180,우대금리,143,185,328
2182,물류,38,76,114
2184,경제정책,71,114,185
2185,연구원,700,1813,2513
2187,이른다,13,35,48
2189,전기,128,199,327
2190,현실화,77,141,218
2191,원가,58,78,136
2192,준하,12,8,20
2193,공개,247,521,768
2194,공화당,43,82,125
2195,민주당,97,148,245
2196,강경,8,20,28
2197,트위터,8,9,17
2198,재선,5,11,16
2199,된다면,20,12,32
2200,훨씬,89,111,200
2202,현명,7,12,19
2203,행동,25,34,59
2204,경고,61,183,244
2205,남겼,5,10,15
2207,의지,114,170,284
2208,위안화,161,331,492
2210,가까워졌,7,9,16
2211,순익,20,11,31
2212,존,24,50,74
2213,언,8,9,17
2214,보도,93,180,273
2216,저항선,20,36,56
2217,부재,74,134,208
2218,위안,173,314,487
2219,사항,118,191,309
2224,실업,45,35,80
2225,희망,138,187,325
2226,아예,15,25,40
2228,지적재산권,80,64,144
2229,강제,12,26,38
2230,기술이전,9,9,18
2231,해결,107,259,366
2232,공감대,14,23,37
2233,대안,62,119,181
2234,해야,36,101,137
2236,대중,26,55,81
2237,변하,27,49,76
2241,자유무역,6,10,16
2242,체제,37,73,110
2243,주도,191,356,547
2245,견제,17,21,38
2249,당연,31,34,65
2251,연결,215,151,366
2252,메리트,220,155,375
2253,높인다는,11,5,16
2254,갈등,82,197,279
2255,동시,137,303,440
2256,움직일,29,50,79
2257,걸림돌,16,27,43
2258,자본,479,651,1130
2259,전제,119,174,293
2261,상환능력,94,42,136
2262,건전,28,34,62
2263,플랜,10,9,19
2264,명확히,16,36,52
2265,활동,148,301,449
2266,장려,12,15,27
2267,그칠,66,82,148
2268,이내,87,192,279
2269,동행,61,73,134
2271,횡보,65,108,173
2272,보인다고,483,310,793
2275,최고,267,558,825
2276,나타낸,30,59,89
2279,끝나,24,41,65
2280,달,255,593,848
2281,그렇게,36,60,96
2282,확신,118,268,386
2283,어려우,13,16,29
2284,경제주체,123,171,294
2285,언제,37,30,67
2286,관건,55,102,157
2288,중순,77,136,213
2290,투자심리,262,273,535
2291,바꿨,6,12,18
2293,금융위기,218,268,486
2295,글로벌가치사슬,7,8,15
2296,의해,68,111,179
2298,자본재,38,63,101
2299,중간재,42,23,65
2300,내수시장,10,8,18
2302,노동,125,190,315
2303,생산성,79,153,232
2305,절상,112,200,312
2306,중견,75,84,159
2307,대기업,105,216,321
2308,채산성,6,14,20
2309,고용감소,1,17,18
2310,낙수효과,10,18,28
2311,저성장,74,72,146
2312,빠지,27,61,88
2313,위해서,171,295,466
2314,운용,441,620,1061
2315,우선순위,25,32,57
2316,선택,236,324,560
2317,질의,171,69,240
2318,취지,36,85,121
2320,유효수요,53,44,97
2321,통하,8,27,35
2322,수출산업,5,10,15
2323,육성,46,113,159
2324,거시경제,60,76,136
2326,정확히,34,39,73
2327,어려운,166,328,494
2328,소매업,26,28,54
2329,음식,16,33,49
2330,숙박업,9,17,26
2331,베이비부머,2,15,17
2332,세대,82,292,374
2333,창업,34,92,126
2334,업종별,71,204,275
2335,추후,38,58,96
2336,중기,124,270,394
2338,탈피,26,32,58
2339,예금,269,442,711
2340,내려가,46,86,132
2341,서두를,28,16,44
2342,절하,90,144,234
2344,동인,9,23,32
2346,찾아보,11,12,23
2347,강하,90,128,218
2348,소비세,8,17,25
2349,아베노믹스,11,22,33
2350,국제기구,21,22,43
2352,행도,6,12,18
2353,하한,8,28,36
2355,영,54,62,116
2356,불균형,63,94,157
2357,금년도,32,23,55
2358,더디,33,43,76
2359,정체,37,105,142
2360,침체,321,589,910
2361,경기순환,23,38,61
2362,고령화,81,105,186
2363,인구구조,32,34,66
2365,노후,42,48,90
2366,저축,115,200,315
2367,연령,43,58,101
2368,균형,67,152,219
2369,구매력,22,36,58
2372,가계,803,1090,1893
2373,부채,988,1067,2055
2375,구조변화,25,29,54
2376,모형,49,82,131
2377,어려움,141,322,463
2378,통상,72,186,258
2379,축적,22,37,59
2382,유념,28,24,52
2383,미진,10,11,21
2384,설령,9,12,21
2385,분해,15,18,33
2387,개연,18,19,37
2388,시차,119,115,234
2391,분배,11,57,68
2393,의해서,6,11,17
2396,회귀,19,31,50
2397,이용,234,459,693
2398,사후,13,15,28
2399,현시점,4,30,34
2400,실물,218,259,477
2401,나와,16,42,58
2403,볼,213,294,507
2404,필립스곡선,22,19,41
2405,나타난다고,11,9,20
2406,추경예산,8,8,16
2407,집행,95,168,263
2408,기자간담회,36,106,142
2409,추경,143,117,260
2410,컨센서스,145,247,392
2411,후행,16,35,51
2412,미래,172,307,479
2413,불가능,44,66,110
2414,상저하고,11,18,29
2415,모멘텀,272,436,708
2417,공조,52,49,101
2418,여신,78,141,219
2419,흥국,13,14,27
2420,급등세,34,55,89
2421,진정,131,142,273
2423,외인,258,400,658
2424,소화,71,145,216
2425,오창섭,250,438,688
2426,부담감,16,37,53
2428,시일,17,33,50
2429,걸릴,21,38,59
2430,호전,51,76,127
2432,높여,42,79,121
2433,결정문,16,36,52
2434,유럽중앙은행,34,144,178
2435,중앙은행,308,642,950
2436,건전화,8,10,18
2437,추진,296,572,868
2438,반복,87,146,233
2439,면,108,203,311
2440,취업자수,157,163,320
2441,마이너스GDP,30,42,72
2442,나타낼,96,76,172
2444,인플레이션율,112,159,271
2445,나타냄,20,20,40
2446,특이,18,18,36
2447,주택매매가격,20,29,49
2448,수도권,176,197,373
2449,이어짐,10,11,21
2450,보합세,35,71,106
2451,보였으며,22,22,44
2452,오름세,197,293,490
2453,어감,22,12,34
2454,올랐으며,11,26,37
2455,상당폭,86,82,168
2456,추가경정예산,5,13,18
2457,면밀,24,28,52
2458,기대심리,35,53,88
2459,잠재력,27,55,82
2460,훼손,47,62,109
2461,위험요인,46,87,133
2462,발표문,5,14,19
2464,표시,142,203,345
2465,기자,704,1809,2513
2466,한국은행총재,57,128,185
2467,벗어나,108,189,297
2468,세계은행,11,40,51
2469,예전,24,26,50
2470,파급효과,60,47,107
2471,다변화,39,60,99
2473,대처,20,43,63
2474,빠를,11,12,23
2475,미리,39,76,115
2476,내다보,39,48,87
2479,모르,24,41,65
2480,확실,36,98,134
2481,그때,28,25,53
2483,메리츠종금증권,144,253,397
2484,리서치센터,1063,1580,2643
2485,발간,32,73,105
2486,목록,17,23,40
2487,목,124,147,271
2488,고착화,32,63,95
2489,자산배분,32,169,201
2490,고찰,5,14,19
2491,변곡점,31,58,89
2492,시대,61,154,215
2493,구조화채권,15,19,34
2494,길라잡이,7,18,25
2495,데자뷰,5,10,15
2496,파생상품,35,52,87
2497,투자전략,112,163,275
2498,바닥,119,158,277
2499,한국형,12,41,53
2500,토빈세,14,8,22
2501,도입,284,589,873
2502,거래세,18,8,26
2503,박근혜,28,33,61
2504,타이밍,52,52,104
2505,원리금,76,166,242
2506,경기사이클,20,40,60
2507,상승국면,23,24,47
2508,키워드,12,54,66
2509,나설,119,287,406
2510,제안,143,257,400
2511,선물환,74,14,88
2512,포지션,186,278,464
2513,주의,64,106,170
2514,반,120,242,362
2515,짧,49,74,123
2516,재정절벽,23,39,62
2517,넘기,17,32,49
2518,장세,118,202,320
2519,위험관리,39,56,95
2521,전철,8,20,28
2523,매수기회,37,46,83
2525,고지,19,30,49
2526,계열회사,64,62,126
2527,유가증권,126,114,240
2528,시장조성,14,22,36
2529,주간사,11,16,27
2530,참여,218,279,497
2531,게재,31,28,59
2532,본인,106,148,254
2533,부당,110,134,244
2534,간섭,103,112,215
2535,작성자,129,145,274
2536,오차,25,34,59
2537,완벽,15,26,41
2538,패턴,86,118,204
2539,이베스트투자증권,419,742,1161
2540,김문일,11,15,26
2541,주제,26,94,120
2542,시장참여자,17,50,67
2543,해서,32,90,122
2544,확연히,9,11,20
2545,손실,273,501,774
2546,사람,77,185,262
2548,수익,329,474,803
2549,바로,48,133,181
2550,유명,18,32,50
2551,매크로,51,78,129
2552,유리,109,169,278
2553,감사,21,55,76
2554,머지않,6,20,26
2555,빅,80,193,273
2558,목요일,13,25,38
2559,그쳤,86,119,205
2560,실효,23,100,123
2561,가,172,307,479
2562,포인트,1213,2839,4052
2563,물리,14,16,30
2564,더이상,50,71,121
2565,연방기금,68,117,185
2567,우위,63,219,282
2568,채권자금,43,62,105
2569,그래프,18,25,43
2570,뚜렷,127,228,355
2571,감소세,65,139,204
2572,보유량,7,32,39
2573,리스크관리,47,117,164
2574,듀레이션,238,244,482
2575,년,90,76,166
2576,오른,665,1613,2278
2577,급감,57,133,190
2578,중점,38,62,100
2579,시장참가자,38,69,107
2580,무시,19,32,51
2581,틀,30,60,90
2582,향방,31,70,101
2583,철회,34,60,94
2584,이야기,49,101,150
2585,달라질,55,64,119
2586,내린,351,1108,1459
2587,부근,33,72,105
2589,본원통화,18,12,30
2590,예금은행,28,31,59
2591,예치금,18,20,38
2592,합한,8,10,18
2593,나타낸다,8,17,25
2594,급증,157,272,429
2596,결제비중,9,7,16
2598,행간,9,11,20
2599,헝가리,154,167,321
2600,포린트,36,36,72
2603,용이,16,27,43
2604,무리,45,62,107
2606,커질,109,188,297
2607,가속,68,122,190
2609,실행,76,170,246
2610,이어져,49,54,103
2611,금리선물,57,93,150
2612,확률,102,232,334
2613,개선세,90,104,194
2614,경제활동참가율,14,24,38
2615,내렸,39,164,203
2616,이어진다면,6,17,23
2620,오래,54,64,118
2622,일본은행,95,578,673
2623,장기물,271,434,705
2626,차별화,161,257,418
2627,장단기금리스프레드,25,3,28
2628,특성,72,109,181
2629,환헷지,18,55,73
2630,민감도,42,47,89
2631,스티프닝,41,43,84
2632,근처,12,17,29
2633,배팅,8,23,31
2635,자금흐름,78,75,153
2636,부인,11,21,32
2637,주요국가,26,32,58
2638,비해서,58,57,115
2639,영란은행,8,39,47
2640,행보,24,58,82
2642,늦추,34,52,86
2643,국민,264,491,755
2644,붕괴,33,53,86
2647,불만,26,32,58
2648,반감,4,11,15
2649,귀결,13,15,28
2650,국인,6,10,16
2653,비롯,187,387,574
2654,여론조사,21,17,38
2657,대전,21,88,109
2660,낼,19,68,87
2662,보인다면,5,12,17
2663,키울,11,41,52
2665,내포,11,27,38
2667,해도,94,189,283
2668,선호심리,48,103,151
2669,오른다면,10,6,16
2670,잔류,5,16,21
2671,유로달러,30,36,66
2672,유럽연합,22,58,80
2675,외환,118,78,196
2676,달러엔,123,278,401
2677,버냉키,40,33,73
2678,상관계수,9,13,22
2681,가질,29,60,89
2682,가까운,79,92,171
2683,미일,8,29,37
2684,연관,33,59,92
2685,기준일,13,12,25
2686,정한,10,26,36
2688,연준의장,104,184,288
2691,금리차이,10,25,35
2692,메르스,17,18,35
2693,심한,15,12,27
2694,내구재,92,79,171
2696,메르스사태,9,26,35
2697,역성장,31,33,64
2699,건설업,120,143,263
2701,형국,8,12,20
2702,성장기여도,43,47,90
2703,처음,192,394,586
2705,불안감,76,94,170
2706,돈,128,207,335
2707,빌려,30,52,82
2708,주체,55,74,129
2709,선순환,20,72,92
2710,덴마크,64,64,128
2711,원금,32,124,156
2712,보존,7,11,18
2713,받아들이,9,26,35
2714,떨어진다,8,14,22
2715,수단,99,132,231
2716,기준금리차이,6,14,20
2718,한계점,11,13,24
2720,반작용,12,22,34
2721,버블,43,85,128
2723,영화,9,54,63
2724,주인공,5,14,19
2725,마이클,11,17,28
2727,모기지,112,145,257
2728,공매도,25,100,125
2730,만드,28,54,82
2731,나온다,159,387,546
2732,헷지,9,46,55
2733,상품,652,1395,2047
2734,대체투자,43,64,107
2735,채무자,27,30,57
2737,떨어지,105,195,300
2738,자산유동화증권,17,34,51
2739,늘렸,22,40,62
2740,혼,11,73,84
2741,이자이,10,74,84
2742,신문,24,144,168
2743,미쓰비시,4,12,16
2744,도쿄,51,171,222
2746,자격,31,62,93
2748,상반,37,60,97
2749,현지,389,973,1362
2750,화요일,5,15,20
2751,수요일,9,13,22
2752,바뀔,24,39,63
2753,약해질,9,14,23
2755,된다고,19,22,41
2757,노릴,4,15,19
2758,주가지수,37,74,111
2759,프리미엄,148,312,460
2760,홍콩,174,265,439
2761,돕,115,175,290
2762,제작,131,119,250
2763,리서치,699,720,1419
2764,본부,640,686,1326
2765,바라,114,149,263
2766,저작물,70,82,152
2767,저작권,68,83,151
2768,전송,68,79,147
2769,변형,72,82,154
2770,제3자,73,76,149
2771,추천종목,133,130,263
2772,전일,360,516,876
2773,배우자,48,54,102
2774,관련자,37,43,80
2775,국내은행,84,121,205
2776,지주,56,131,187
2778,자기자본비율,32,40,72
2779,잠정,47,83,130
2780,자기자본,44,96,140
2784,덕,18,52,70
2785,처분,27,85,112
2786,대손상각,2,15,17
2787,정리,101,256,357
2788,풀이,93,273,366
2789,바젤III,11,19,30
2790,규제비율,14,40,54
2793,차감,31,57,88
2794,자본비율,72,89,161
2795,확충,129,163,292
2796,무디스,69,88,157
2797,대출자산,12,12,24
2799,국책은행,41,20,61
2800,우발채무,36,45,81
2801,경기민감업종,23,16,39
2803,현물출자,6,10,16
2804,유일,45,122,167
2805,총자본비율,14,22,36
2807,감축,38,99,137
2808,코코본드,82,115,197
2809,시중,97,165,262
2810,탓,73,133,206
2811,동기간,8,17,25
2812,상승기,49,46,95
2814,시급,25,41,66
2815,제주은행,10,10,20
2816,전북은행,10,28,38
2819,영구채,14,43,57
2820,김태형,12,17,29
2822,금융감독원,82,183,265
2823,보통주,59,82,141
2824,증감,95,62,157
2825,일반은행,47,36,83
2826,지방은행,9,33,42
2827,외화,83,118,201
2828,대출금,63,101,164
2830,익스포져,28,63,91
2831,당기순이익,172,60,232
2833,대출채권,40,58,98
2836,해운업,24,14,38
2837,대손비용,18,9,27
2838,합산,69,102,171
2839,총자본,3,19,22
2840,업체,315,567,882
2841,씨티,27,47,74
2842,경남,23,54,77
2843,광주,25,98,123
2844,대구,31,46,77
2845,전북,9,22,31
2846,부산,70,117,187
2847,제주,13,49,62
2848,수출입,40,97,137
2849,농협,40,105,145
2850,KB금융,39,47,86
2851,신한지주,20,17,37
2852,고정이하여신,6,31,37
2853,전면,33,70,103
2854,합산비율,27,2,29
2855,연체,43,167,210
2856,연체율,109,146,255
2857,선정,106,202,308
2858,BNK금융지주,15,17,32
2859,JB금융지주,13,4,17
2860,수협,19,17,36
2861,영업,223,286,509
2862,신정부,45,22,67
2863,출범,45,49,94
2864,삼성중공업,37,44,81
2865,익스포저,29,58,87
2866,지급보증,17,26,43
2867,조선업,42,46,88
2868,주택담보,6,10,16
2869,후순위채권,21,44,65
2870,우리은행,71,221,292
2871,광주은행,7,31,38
2872,농협은행,40,93,133
2873,기업은행,62,96,158
2874,대구은행,18,34,52
2875,하나은행,102,320,422
2876,경남은행,12,47,59
2877,콜,63,127,190
2878,신종자본증권,87,151,238
2879,수은,2,38,40
2881,성명문,4,24,28
2885,표현,53,108,161
2886,단어,14,17,31
2887,분분,6,13,19
2888,드러난,9,20,29
2890,잃,28,29,57
2891,지키,16,21,37
2892,미세조정,11,19,30
2893,쏠려,6,15,21
2894,사실상,77,125,202
2895,포진,9,14,23
2896,전병,82,109,191
2897,코멘트,48,55,103
2898,전병하,24,39,63
2899,예견,9,15,24
2900,드러났,11,23,34
2902,제롬,101,288,389
2903,투명,33,33,66
2904,서두,14,13,27
2905,결정시,11,15,26
2906,늘어났,64,121,185
2907,결코,6,23,29
2910,다수,60,108,168
2911,흥미,14,33,47
2912,반증,11,9,20
2913,제어,25,60,85
2915,단기자금시장,20,118,138
2916,지켜볼,27,51,78
2917,다가오,15,29,44
2919,성명서,21,81,102
2920,견실,29,30,59
2922,기정사실화,8,9,17
2923,필자,9,8,17
2924,금번,114,118,232
2925,일제히,162,359,521
2926,승리,33,50,83
2927,고무,13,29,42
2928,끌,62,164,226
2929,올려,23,40,63
2930,윤민,7,13,20
2931,소통,21,76,97
2932,개최,67,166,233
2934,늘어날,86,127,213
2935,도표,82,59,141
2936,성명,35,81,116
2938,촉진,52,111,163
2939,상하,8,17,25
2940,맞춰,47,105,152
2941,타당,23,41,64
2942,주어진,10,9,19
2943,이뤄질,40,68,108
2944,대차대조표,31,80,111
2945,교보증권,18,39,57
2946,학술,10,10,20
2947,논문,6,10,16
2948,인용,37,89,126
2949,이경록,15,9,24
2950,캐피탈사,42,85,127
2952,연평균,59,79,138
2953,이익,244,413,657
2954,창출력,22,12,34
2956,유동성비율,3,20,23
2957,벌어졌,18,36,54
2958,양극화,54,63,117
2959,경쟁심,9,14,23
2960,캐피탈,108,97,205
2961,대주주,37,50,87
2962,열위,16,14,30
2963,금리격차,26,44,70
2964,여전사,28,23,51
2968,능력,73,155,228
2969,급여,69,74,143
2972,여천,11,17,28
2973,상대,87,105,192
2974,미래에셋대우,244,424,668
2975,벌어져,8,9,17
2977,든든,9,23,32
2978,주된,9,40,49
2979,자동차금융,5,16,21
2981,쏠림현상,7,28,35
2982,압도,23,59,82
2983,현대캐피탈,5,49,54
2984,단순,78,66,144
2985,평균값,7,21,28
2986,수입차,27,21,48
2987,탄탄,60,137,197
2988,산,43,58,101
2989,롯데,155,210,365
2990,메리츠,17,33,50
2991,애,15,30,45
2992,큐,6,14,20
2993,온,99,42,141
2994,아주,68,66,134
2995,벌어지,17,29,46
2996,하락시,9,43,52
2997,쫓,9,19,28
2998,지나치,38,59,97
2999,애널리스트,50,117,167
3000,허락,78,61,139
3001,안주영,12,7,19
3002,건설채,17,41,58
3003,걱정,50,88,138
3004,미분양,63,98,161
3006,적체,7,9,16
3007,들어서,32,46,78
3008,순증,73,32,105
3009,서울,724,1778,2502
3010,순위,51,166,217
3011,청약,91,236,327
3012,잔여,14,33,47
3013,물량,356,517,873
3014,위협,36,90,126
3016,증권사,164,423,587
3017,분담,11,50,61
3018,됨,11,19,30
3019,해외부문,8,16,24
3020,연착륙,51,165,216
3021,모처럼,12,24,36
3022,하향세,12,11,23
3023,최고치,209,590,799
3024,사상,224,491,715
3025,최대치,30,78,108
3026,국민은행,61,277,338
3027,다,143,327,470
3028,선방,16,28,44
3029,연중,68,97,165
3030,항상,19,25,44
3031,포트폴리오,193,346,539
3032,아파트,276,588,864
3033,분양,226,299,525
3034,잔여세대,1,14,15
3035,만호,9,12,21
3036,어닝쇼크,12,37,49
3037,주범,8,16,24
3038,준공,40,78,118
3039,완료,69,125,194
3040,막바지,7,17,24
3042,사업장,132,298,430
3043,그만큼,59,97,156
3045,미청구공사,30,9,39
3046,회수,81,93,174
3047,흡수력,12,19,31
3048,일관,12,31,43
3049,공사장,3,12,15
3050,추적,12,17,29
3051,사업보고서,7,24,31
3052,막대,24,54,78
3053,현대,117,148,265
3055,대림,40,26,66
3056,대우,27,61,88
3057,포스코,84,171,255
3058,플랜트,33,43,76
3059,흑자전환,18,53,71
3060,GS건설,23,47,70
3061,충당금,100,88,188
3062,환입,27,13,40
3063,이익률,17,18,35
3064,호황,39,52,91
3066,공시기준,18,9,27
3067,전국,144,261,405
3068,나눠,35,27,62
3070,직후,81,140,221
3072,분양시장,13,21,34
3074,완충,43,70,113
3075,직전,219,376,595
3076,위시,7,10,17
3077,금융기관,179,334,513
3078,보증,126,336,462
3079,나누,22,40,62
3080,매출채권,14,11,25
3081,생겼,14,33,47
3082,별도,52,128,180
3083,현대건설,32,57,89
3084,대림산업,33,39,72
3085,대우건설,66,62,128
3086,한화건설,25,25,50
3087,모집,187,339,526
3088,폴리실리콘,2,13,15
3090,케미칼,4,13,17
3091,사업부문,22,49,71
3093,태양광,16,48,64
3094,구조,191,294,485
3095,내려온,14,23,37
3096,적자전환,13,14,27
3097,연환산,27,30,57
3098,상이,34,44,78
3099,넥센타이어,9,13,22
3100,몰리,53,114,167
3101,뜨거운,20,39,59
3102,조선호텔,8,12,20
3104,아웃룩,21,7,28
3106,미매각,99,159,258
3107,롯데제과,10,12,22
3108,KB증권,67,118,185
3110,예스코,15,29,44
3111,홀딩스,56,137,193
3112,호텔롯데,25,27,52
3113,동원산업,21,7,28
3115,팬오션,8,7,15
3116,볼드체,10,11,21
3117,릭,4,13,17
3118,감액,7,32,39
3119,체결,108,217,325
3122,한국자산신탁,6,12,18
3123,트랜,22,129,151
3124,시스,19,17,36
3126,LG유플러스,48,63,111
3127,토지,42,81,123
3128,리츠,130,456,586
3130,부동산투자회사,8,13,21
3131,키스,11,22,33
3134,호텔,44,90,134
3135,선,311,826,1137
3136,영업자산,10,7,17
3137,현대일렉트릭,9,18,27
3138,앤,117,167,284
3139,삼화페인트공업,18,9,27
3141,업계,206,458,664
3143,아주캐피탈,18,30,48
3144,우수,139,244,383
3145,맥주,9,9,18
3147,사업자,48,116,164
3148,취급,69,149,218
3150,한국신용평가,34,58,92
3151,중단기,22,42,64
3152,유통,149,248,397
3153,수,149,236,385
3154,사발,5,10,15
3155,행사,96,177,273
3156,대성홀딩스,18,11,29
3158,현대제철,67,92,159
3159,S-Oil,18,27,45
3160,KB캐피탈,10,16,26
3165,회,15,32,47
3166,한국항공우주,27,22,49
3167,해운,88,77,165
3168,강원도,12,22,34
3169,개발공사,26,30,56
3170,LG디스플레이,21,37,58
3172,도시,106,211,317
3173,한화,145,257,402
3174,어로,8,36,44
3175,스페이스,19,37,56
3176,꽤,36,36,72
3177,약해졌,9,20,29
3178,분쟁,91,189,280
3179,갱신,26,61,87
3180,횡보세,14,10,24
3181,욕구,16,22,38
3182,기말,19,10,29
3184,약하,17,24,41
3185,다운,7,15,22
3186,참조,35,49,84
3187,산금채,65,81,146
3188,중금채,25,22,47
3189,주전,89,70,159
3190,보유기간,21,20,41
3192,산식,9,9,18
3193,이자율,109,188,297
3195,수익률곡선,153,247,400
3196,가상,92,241,333
3197,벤치마크,96,158,254
3198,평가이익,7,18,25
3199,긴,42,72,114
3200,매매수수료,9,7,16
3201,이자소득세,11,24,35
3202,보간법,9,7,16
3203,단가,40,72,112
3204,계산,87,82,169
3205,추산,28,63,91
3206,구성종목,14,30,44
3207,상세,21,25,46
3208,편입,178,163,341
3209,편입비중,22,11,33
3210,이표,27,92,119
3211,잔존만기,165,275,440
3212,비고,13,20,33
3213,대한항공,104,51,155
3215,포스코건설,29,28,57
3216,가중평균,99,174,273
3217,평가손익,12,11,23
3218,적순,90,91,181
3220,주안점,9,12,21
3221,취한,6,9,15
3222,일어날,11,19,30
3223,바람직,55,68,123
3225,기미,15,14,29
3226,나아지,10,25,35
3227,항공기,16,35,51
3231,소위,11,28,39
3232,불황형,9,14,23
3233,반박,8,16,24
3234,좌우,40,53,93
3236,성격,56,108,164
3237,억제,82,115,197
3239,부동산시장,146,241,387
3240,중산층,13,20,33
3241,소득,334,429,763
3242,깊이,13,21,34
3244,진전,59,100,159
3245,총수요,16,30,46
3246,줄어드,39,66,105
3247,생산능력,6,31,37
3250,저출산,35,55,90
3251,급속,13,13,26
3252,얼마나,63,114,177
3253,신장세,6,12,18
3256,직면,43,78,121
3257,계층,32,30,62
3258,젊은층,10,27,37
3259,취업,11,42,53
3262,인구,122,195,317
3263,강구,22,21,43
3265,반기,21,35,56
3267,이연,16,21,37
3268,국민소득,4,11,15
3269,명목,150,193,343
3271,특징,93,167,260
3272,보일지,6,9,15
3273,관심사,9,32,41
3274,이력,15,37,52
3275,경향,83,124,207
3277,편의,30,103,133
3278,편향,8,15,23
3281,짚,62,147,209
3283,전기전자,39,97,136
3284,생애,20,19,39
3285,적절히,36,35,71
3286,이견,17,46,63
3287,활력,21,51,72
3288,조세,20,27,47
3289,원고,5,16,21
3290,高,4,13,17
3291,개도국,8,9,17
3292,의문,28,56,84
3293,가동률,50,101,151
3294,신장,20,46,66
3295,특별히,10,20,30
3296,혹시,6,12,18
3298,저축률,13,25,38
3299,약해,24,62,86
3300,약,17,20,37
3301,빠져,15,30,45
3302,어질,18,24,42
3303,조짐,89,124,213
3304,간과,13,28,41
3305,의외,8,12,20
3307,체감,66,140,206
3308,저해,25,37,62
3310,단언,3,12,15
3311,분산,29,49,78
3315,안착,39,86,125
3316,비추,59,64,123
3317,복귀,40,87,127
3318,애로,29,68,97
3319,겪,130,328,458
3320,비관,39,35,74
3321,현실,75,136,211
3322,고,35,70,105
3323,低,4,11,15
3324,룸,23,39,62
3325,기상,9,10,19
3326,자연재해,6,11,17
3327,연,180,295,475
3328,그대로,57,100,157
3329,내리,80,282,362
3331,바뀐,16,14,30
3332,심리지표,28,35,63
3333,진단,97,229,326
3337,한,110,261,371
3338,최고점,7,29,36
3339,나쁜,41,20,61
3340,과도,162,288,450
3342,떨어진,99,230,329
3343,올라가,36,54,90
3344,굉장히,14,45,59
3346,올라갈,19,25,44
3347,일시,54,76,130
3348,된다는,22,32,54
3349,디플레이터,13,26,39
3350,묻,22,53,75
3351,스톡,7,16,23
3352,노동력,12,27,39
3353,필터링,1,27,28
3357,공통,30,52,82
3358,단점,7,26,33
3359,디플레,18,23,41
3361,경제구조,36,24,60
3362,역량,31,92,123
3363,갖추,14,49,63
3364,공공요금,34,36,70
3365,의도,39,48,87
3366,오해,6,13,19
3368,행진,25,32,57
3369,변함,21,25,46
3371,인정,71,147,218
3372,편성,40,47,87
3374,총량,20,30,50
3375,취약차주,3,22,25
3376,채무,185,220,405
3377,금일,97,110,207
3378,지난번,12,19,31
3379,인플레이션갭,27,7,34
3381,밤,28,40,68
3382,발의,10,7,17
3383,합쳐,18,33,51
3384,통방문,10,20,30
3385,허들,22,5,27
3386,불과,98,153,251
3387,크다,25,72,97
3388,중후반,30,38,68
3389,편안,10,11,21
3390,빨라야,5,10,15
3391,급하,17,32,49
3392,끝난,23,23,46
3393,낮출,43,89,132
3394,관계없이,13,13,26
3396,레인지,91,168,259
3397,하락룸,9,9,18
3398,지식재산,6,11,17
3399,생산물,6,16,22
3400,정부정책,69,71,140
3401,부,77,185,262
3402,미흡,34,63,97
3403,구직,8,20,28
3404,종,53,116,169
3405,고용률,29,50,79
3406,농축수산물,23,13,36
3407,일반인,35,43,78
3409,웃돌,178,381,559
3410,예년,33,53,86
3411,등가격,5,12,17
3412,면밀히,157,165,322
3413,줄지,6,20,26
3414,거론,58,96,154
3415,한다,45,106,151
3416,금통위원,120,133,253
3417,올린,21,62,83
3418,높였,33,87,120
3419,분포,30,54,84
3421,전적,11,16,27
3423,꼽,67,200,267
3424,거시,46,79,125
3425,미시,21,27,48
3426,좁혀,29,36,65
3427,투자주체,15,7,22
3428,초점,45,92,137
3430,일자리창출,22,23,45
3432,노동시장,93,190,283
3433,완전고용,7,8,15
3434,양질,9,14,23
3435,일자리,99,198,297
3437,그러,158,296,454
3438,빨라질,27,21,48
3439,알려진,16,28,44
3440,민감,130,227,357
3442,앞당겨,13,22,35
3443,종전,71,78,149
3444,상관관계,45,100,145
3446,선회,30,27,57
3447,축,57,94,151
3448,중첩,11,9,20
3449,가치,170,253,423
3450,관리,310,599,909
3451,국회,148,176,324
3452,기다릴,8,17,25
3454,탄력,43,72,115
3455,베어,17,18,35
3458,케이프투자증권,41,41,82
3459,기획재정부,131,113,244
3460,담보대출,42,83,125
3462,증감률,8,8,16
3464,재산,41,42,83
3465,전망보고서,10,28,38
3467,김지만,62,41,103
3469,줄일,27,36,63
3470,최선,28,49,77
3471,차기,33,42,75
3472,재닛옐런,16,19,35
3473,게리,11,8,19
3474,콘,24,8,32
3475,서베이,36,59,95
3476,언론,58,69,127
3477,매체,20,42,62
3478,후보,105,167,272
3480,쓴,5,19,24
3482,위원장,66,165,231
3483,임명,30,34,64
3485,일축,18,36,54
3486,다행,11,19,30
3487,급변,16,21,37
3488,옹호,8,11,19
3489,관측,81,277,358
3490,번주,7,10,17
3491,이달,151,354,505
3493,현대차투자증권,117,77,194
3494,금융위원회,79,114,193
3495,하반,16,29,45
3496,호재,108,238,346
3497,경직성,29,40,69
3498,골드만삭스,58,56,114
3499,설문,16,35,51
