,날짜,종가,한달 전 날짜
3946,2008-07-22,4.57,2008-06-22
3947,2008-07-21,4.58,2008-06-21
3948,2008-07-18,5.01,2008-06-18
3949,2008-07-17,5.01,2008-06-17
3950,2008-07-16,5.0,2008-06-16
3951,2008-07-15,5.01,2008-06-15
3952,2008-07-14,5.0,2008-06-14
3953,2008-07-11,5.01,2008-06-11
3954,2008-07-10,5.01,2008-06-10
3955,2008-07-09,5.02,2008-06-09
3956,2008-07-08,5.01,2008-06-08
3957,2008-07-07,5.01,2008-06-07
3958,2008-07-04,5.03,2008-06-04
3959,2008-07-03,4.99,2008-06-03
3960,2008-07-02,4.99,2008-06-02
3961,2008-07-01,4.99,2008-06-01
3962,2008-06-30,5.01,2008-05-30
3963,2008-06-27,5.0,2008-05-27
3964,2008-06-26,5.01,2008-05-26
3965,2008-06-25,4.55,2008-05-25
3966,2008-06-24,4.55,2008-05-24
3967,2008-06-23,4.62,2008-05-23
3968,2008-06-20,5.01,2008-05-20
3969,2008-06-19,5.0,2008-05-19
3970,2008-06-18,5.0,2008-05-18
3971,2008-06-17,5.0,2008-05-17
3972,2008-06-16,5.01,2008-05-16
3973,2008-06-13,4.99,2008-05-13
3974,2008-06-12,4.99,2008-05-12
3975,2008-06-11,4.57,2008-05-11
3976,2008-06-10,4.57,2008-05-10
3977,2008-06-09,4.81,2008-05-09
3978,2008-06-05,5.0,2008-05-05
3979,2008-06-04,5.0,2008-05-04
3980,2008-06-03,5.0,2008-05-03
3981,2008-06-02,5.0,2008-05-02
3982,2008-05-30,5.04,2008-04-30
3983,2008-05-29,5.03,2008-04-29
3984,2008-05-28,5.03,2008-04-28
3985,2008-05-27,5.01,2008-04-27
3986,2008-05-26,5.0,2008-04-26
3987,2008-05-23,5.0,2008-04-23
3988,2008-05-22,5.0,2008-04-22
3989,2008-05-21,4.62,2008-04-21
3990,2008-05-20,4.63,2008-04-20
3991,2008-05-19,4.93,2008-04-19
3992,2008-05-16,4.95,2008-04-16
3993,2008-05-15,4.9,2008-04-15
3994,2008-05-14,4.87,2008-04-14
3995,2008-05-13,4.93,2008-04-13
3996,2008-05-09,5.0,2008-04-09
3997,2008-05-08,5.01,2008-04-08
3998,2008-05-07,5.18,2008-04-07
3999,2008-05-06,5.19,2008-04-06
4000,2008-05-02,4.96,2008-04-02
4001,2008-04-30,4.95,2008-03-30
4002,2008-04-29,4.94,2008-03-29
4003,2008-04-28,4.89,2008-03-28
4004,2008-04-25,4.96,2008-03-25
4005,2008-04-24,5.0,2008-03-24
4006,2008-04-23,4.98,2008-03-23
4007,2008-04-22,4.98,2008-03-22
4008,2008-04-21,4.97,2008-03-21
4009,2008-04-18,5.0,2008-03-18
4010,2008-04-17,5.0,2008-03-17
4011,2008-04-16,5.0,2008-03-16
4012,2008-04-15,5.0,2008-03-15
4013,2008-04-14,5.0,2008-03-14
4014,2008-04-11,5.0,2008-03-11
4015,2008-04-10,4.98,2008-03-10
4016,2008-04-08,5.03,2008-03-08
4017,2008-04-07,5.04,2008-03-07
4018,2008-04-04,5.1,2008-03-04
4019,2008-04-03,5.01,2008-03-03
4020,2008-04-02,5.0,2008-03-02
4021,2008-04-01,4.97,2008-03-01
4022,2008-03-31,4.98,2008-02-29
4023,2008-03-28,4.96,2008-02-28
4024,2008-03-27,4.94,2008-02-27
4025,2008-03-26,4.94,2008-02-26
4026,2008-03-25,4.97,2008-02-25
4027,2008-03-24,4.97,2008-02-24
4028,2008-03-21,4.98,2008-02-21
4029,2008-03-20,4.98,2008-02-20
4030,2008-03-19,4.95,2008-02-19
4031,2008-03-18,4.99,2008-02-18
4032,2008-03-17,4.96,2008-02-17
4033,2008-03-14,4.98,2008-02-14
4034,2008-03-13,4.98,2008-02-13
4035,2008-03-12,4.98,2008-02-12
4036,2008-03-11,4.99,2008-02-11
4037,2008-03-10,4.99,2008-02-10
4038,2008-03-07,5.0,2008-02-07
4039,2008-03-06,5.0,2008-02-06
4040,2008-03-05,4.93,2008-02-05
4041,2008-03-04,4.95,2008-02-04
4042,2008-03-03,4.94,2008-02-03
4043,2008-02-29,4.94,2008-01-29
4044,2008-02-28,4.96,2008-01-28
4045,2008-02-27,4.94,2008-01-27
