,범례명,기준금리
215,2014-08-03,2.5
216,2014-08-04,2.5
217,2014-08-05,2.5
218,2014-08-06,2.5
219,2014-08-07,2.5
220,2014-08-08,2.5
221,2014-08-09,2.5
222,2014-08-10,2.5
223,2014-08-11,2.5
224,2014-08-12,2.5
225,2014-08-13,2.5
226,2014-08-14,2.25
227,2014-08-15,2.25
228,2014-08-16,2.25
229,2014-08-17,2.25
230,2014-08-18,2.25
231,2014-08-19,2.25
232,2014-08-20,2.25
233,2014-08-21,2.25
234,2014-08-22,2.25
235,2014-08-23,2.25
236,2014-08-24,2.25
237,2014-08-25,2.25
238,2014-08-26,2.25
239,2014-08-27,2.25
240,2014-08-28,2.25
241,2014-08-29,2.25
242,2014-08-30,2.25
243,2014-08-31,2.25
244,2014-09-01,2.25
245,2014-09-02,2.25
246,2014-09-03,2.25
247,2014-09-04,2.25
248,2014-09-05,2.25
249,2014-09-06,2.25
250,2014-09-07,2.25
251,2014-09-08,2.25
252,2014-09-09,2.25
253,2014-09-10,2.25
254,2014-09-11,2.25
255,2014-09-12,2.25
256,2014-09-13,2.25
257,2014-09-14,2.25
258,2014-09-15,2.25
259,2014-09-16,2.25
260,2014-09-17,2.25
261,2014-09-18,2.25
262,2014-09-19,2.25
263,2014-09-20,2.25
264,2014-09-21,2.25
265,2014-09-22,2.25
266,2014-09-23,2.25
267,2014-09-24,2.25
268,2014-09-25,2.25
269,2014-09-26,2.25
270,2014-09-27,2.25
271,2014-09-28,2.25
272,2014-09-29,2.25
273,2014-09-30,2.25
274,2014-10-01,2.25
275,2014-10-02,2.25
276,2014-10-03,2.25
277,2014-10-04,2.25
278,2014-10-05,2.25
279,2014-10-06,2.25
280,2014-10-07,2.25
281,2014-10-08,2.25
282,2014-10-09,2.25
283,2014-10-10,2.25
284,2014-10-11,2.25
285,2014-10-12,2.25
286,2014-10-13,2.25
287,2014-10-14,2.25
288,2014-10-15,2.0
289,2014-10-16,2.0
290,2014-10-17,2.0
291,2014-10-18,2.0
292,2014-10-19,2.0
293,2014-10-20,2.0
294,2014-10-21,2.0
295,2014-10-22,2.0
296,2014-10-23,2.0
297,2014-10-24,2.0
298,2014-10-25,2.0
299,2014-10-26,2.0
300,2014-10-27,2.0
301,2014-10-28,2.0
302,2014-10-29,2.0
303,2014-10-30,2.0
304,2014-10-31,2.0
305,2014-11-01,2.0
306,2014-11-02,2.0
307,2014-11-03,2.0
308,2014-11-04,2.0
309,2014-11-05,2.0
310,2014-11-06,2.0
311,2014-11-07,2.0
312,2014-11-08,2.0
313,2014-11-09,2.0
314,2014-11-10,2.0
315,2014-11-11,2.0
316,2014-11-12,2.0
317,2014-11-13,2.0
318,2014-11-14,2.0
319,2014-11-15,2.0
320,2014-11-16,2.0
321,2014-11-17,2.0
322,2014-11-18,2.0
323,2014-11-19,2.0
324,2014-11-20,2.0
325,2014-11-21,2.0
326,2014-11-22,2.0
327,2014-11-23,2.0
328,2014-11-24,2.0
329,2014-11-25,2.0
330,2014-11-26,2.0
331,2014-11-27,2.0
332,2014-11-28,2.0
333,2014-11-29,2.0
334,2014-11-30,2.0
335,2014-12-01,2.0
336,2014-12-02,2.0
337,2014-12-03,2.0
338,2014-12-04,2.0
339,2014-12-05,2.0
340,2014-12-06,2.0
341,2014-12-07,2.0
342,2014-12-08,2.0
343,2014-12-09,2.0
344,2014-12-10,2.0
345,2014-12-11,2.0
346,2014-12-12,2.0
347,2014-12-13,2.0
348,2014-12-14,2.0
349,2014-12-15,2.0
350,2014-12-16,2.0
351,2014-12-17,2.0
352,2014-12-18,2.0
353,2014-12-19,2.0
354,2014-12-20,2.0
355,2014-12-21,2.0
356,2014-12-22,2.0
357,2014-12-23,2.0
358,2014-12-24,2.0
359,2014-12-25,2.0
360,2014-12-26,2.0
361,2014-12-27,2.0
362,2014-12-28,2.0
363,2014-12-29,2.0
364,2014-12-30,2.0
365,2014-12-31,2.0
366,2015-01-01,2.0
367,2015-01-02,2.0
368,2015-01-03,2.0
369,2015-01-04,2.0
370,2015-01-05,2.0
371,2015-01-06,2.0
372,2015-01-07,2.0
373,2015-01-08,2.0
374,2015-01-09,2.0
375,2015-01-10,2.0
376,2015-01-11,2.0
377,2015-01-12,2.0
378,2015-01-13,2.0
379,2015-01-14,2.0
380,2015-01-15,2.0
381,2015-01-16,2.0
382,2015-01-17,2.0
383,2015-01-18,2.0
